,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
379,61.67,96.37,16.39,91,89,6.87,RU,1615179218
380,12.5579,-12.1743,74.88,38,27,5.32,SN,1615179218
381,6.4,-57.6,77.7,86,96,11.48,GY,1615179218
382,-14.9172,13.4925,58.5,77,57,4.03,AO,1615179218
383,39.05,-27.9833,59.29,99,69,10.51,PT,1615179219
384,-2.0226,147.2712,82.13,74,100,5.1,PG,1615179219
385,58.5167,125.5167,18.21,93,72,10.0,RU,1615179219
386,-20.3167,118.5667,91.4,55,0,14.97,AU,1615179220
387,42.2506,-75.833,16.0,57,1,4.61,US,1615179220
388,33.1222,46.1646,42.8,52,40,6.91,IR,1615179220
389,-20.0167,148.2333,86.0,62,40,14.97,AU,1615179221
390,58.965,-3.296,42.8,93,90,2.3,GB,1615179221
391,69.4865,88.3972,-9.89,88,100,2.28,RU,1615179221
392,3.25,19.7667,65.64,97,98,1.45,CD,1615179221
393,-5.795,-35.2094,77.0,94,20,4.61,BR,1615179221
394,-20.2333,164.0167,79.07,72,29,9.19,NC,1615179222
395,6.4965,2.6036,81.01,82,100,8.08,BJ,1615179073
396,70.9457,27.3465,19.4,73,20,9.22,NO,1615179222
397,38.0,-3.5,39.61,100,15,1.88,ES,1615179222
398,39.4883,-1.1004,50.0,93,75,4.61,ES,1615179222
399,52.9999,-122.5029,33.8,75,75,3.44,CA,1615179099
400,1.3292,172.9752,86.0,66,20,11.5,KI,1615179223
401,33.6,73.0667,72.86,34,24,4.9,PK,1615179223
402,68.2191,-135.0107,-13.0,70,2,5.75,CA,1615179223
403,-27.3667,-70.3333,62.6,82,90,3.44,CL,1615179224
404,-22.2763,166.4572,82.4,57,75,16.11,NC,1615179067
405,13.5928,-89.8275,80.02,65,0,7.56,SV,1615179224
406,-9.4333,159.95,82.94,76,100,3.96,SB,1615179224
407,39.4206,20.0147,53.01,93,40,7.76,GR,1615179224
408,-23.865,35.3833,68.0,94,20,4.59,MZ,1615179225
409,5.7667,73.3833,83.52,67,32,9.57,MV,1615179225
410,55.1001,-105.2842,39.2,41,100,4.61,CA,1615179225
411,10.2849,22.7882,70.34,19,87,8.37,CF,1615179225
412,61.95,159.2333,-16.42,78,27,2.19,RU,1615179226
413,0.6,-80.0333,75.07,92,100,4.56,EC,1615179226
414,-3.9014,-38.3911,81.0,89,40,4.61,BR,1615179226
415,60.7167,-46.0333,30.2,74,90,13.8,GL,1615179226
416,10.9995,122.6711,84.96,65,100,13.71,PH,1615179226
417,-8.1167,34.25,66.4,91,100,0.85,TZ,1615179227
418,57.0295,34.1725,12.27,95,100,9.4,RU,1615179227
419,-30.3,153.1333,89.01,54,71,14.97,AU,1615179227
420,-4.3167,20.5833,68.43,93,100,0.54,CD,1615179227
421,59.3339,10.6656,30.0,63,60,3.44,NO,1615179227
422,51.6828,102.1408,32.63,85,0,1.34,RU,1615179228
423,4.375,-7.7169,78.04,88,0,8.01,LR,1615179228
424,70.3705,31.1107,10.4,92,40,4.61,NO,1615179228
425,-3.8004,102.2655,79.2,87,98,13.62,ID,1615179228
